"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","ZA","WW"
"169","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80107","444","0","15074.00","15073.78","15073.78"
"170","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80107","471","0","200.00","0.37","0.37"
"171","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80107","479","0","285310.00","271910.71","267084.74"
"172","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80107","480","0","19400.00","19309.61","19309.61"
"173","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80146","430","0","14331.00","2600.00","2600.00"
"174","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80146","470","0","23886.00","23882.97","23882.97"
"175","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","302","0","1889.00","1163.17","1163.17"
"176","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","401","0","315726.00","314171.09","305076.08"
"177","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","404","0","21170.00","21162.98","21162.98"
"178","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","411","0","57540.00","57484.46","51318.01"
"179","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","412","0","7343.00","6406.83","5768.79"
"180","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","421","0","14255.00","14249.75","14249.75"
"181","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","422","0","474000.00","432621.93","432621.93"
"182","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","426","0","1120.00","495.00","495.00"
"183","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","428","0","449.00","380.00","380.00"
"184","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","430","0","5341.00","4638.65","4325.45"
"185","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","444","0","13304.00","13303.76","13303.76"
"186","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80148","471","0","200.00","",""
"187","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","411","0","304688.00","301475.29","291756.35"
"188","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","412","0","39253.00","37784.19","36203.78"
"189","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","421","0","42223.20","42223.20","42223.20"
"190","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","444","0","98617.00","98616.05","98616.05"
"191","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","471","0","5424.00","3677.48","3677.48"
"192","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","479","0","1630306.00","1615626.37","1594677.88"
"193","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80150","480","0","155020.00","154983.52","154983.52"
"194","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80153","424","0","75791.94","75791.94","75791.94"
"195","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","801","80195","605","0","10000.00","9991.83","9991.83"
"196","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb28s_9a67b3d02fc447678630dcabbe745ba8","2022","Kwartal","4","854","85416","324","0","18600.00","18600.00","18600.00"
"197","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","302","0","11547.00","11542.63","11542.63"
"198","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","401","0","740000.00","703327.07","689042.44"
"199","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","404","0","53200.00","53169.21","53169.21"
"200","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","411","0","580012.00","556812.05","509935.55"
"201","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","412","0","64431.00","54470.15","49176.72"
"202","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","417","0","6.00","",""
"203","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","421","0","94107.00","58956.13","58956.13"
"204","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","424","0","19129.00","19125.60","19125.60"
"205","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","426","0","401300.00","395155.80","395155.80"
"206","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","427","0","7808.00","7798.20","7798.20"
"207","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","428","0","4523.00","4384.00","4384.00"
"208","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","430","0","83514.00","79459.16","79459.16"
"209","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","436","0","3084.00","2784.34","2784.34"
"210","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","441","0","689.00","329.40","329.40"
"211","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","444","0","204094.00","204094.00","204094.00"
"212","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","470","0","1506.00","1478.00","1478.00"
"213","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","471","0","6000.00","5085.74","5085.74"
"214","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","479","0","2315317.00","2274575.60","2210018.08"
"215","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","480","0","217000.00","216934.39","216934.39"
"216","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","605","0","15000.00","14991.05","14991.05"
"217","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80101","606","0","139200.00","139200.00","139200.00"
"218","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","411","0","43000.00","40598.48","37201.98"
"219","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb28s_99ac6590e9494d7a90e5e7db31b74a7e","2022","Kwartal","4","801","80107","412","0","6000.00","4652.89","4329.82"
