"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","NA","DW"
"18","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80101","092","0","6000.00","2413.84","2333.21"
"19","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80101","097","0","500.00","",""
"20","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80148","083","0","190000.00","146385.00","145337.00"
"21","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80148","097","0","5000.00","607.00","607.00"
"22","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80101","069","0","500.00","143.00","143.00"
"23","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80101","075","0","36100.00","16151.85","16151.85"
"24","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80101","092","0","6000.00","1761.28","1761.28"
"25","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80101","097","0","3500.00","2509.60","2509.60"
"26","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80148","083","0","601000.00","315636.00","315636.00"
"27","SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE","JB","000903334     ","10","02","01","1","0","Rb27s_e2e1d2a383e84fd982f775534754f472","2023","Kwartal","2","801","80148","097","0","11000.00","6468.00","6468.00"
"28","SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA","JB","368246055     ","10","02","01","1","0","Rb27s_0d810ac60a4e48119a5b2c81d75c2b8d","2023","Kwartal","2","801","80101","069","0","200.00","",""
"29","SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA","JB","368246055     ","10","02","01","1","0","Rb27s_0d810ac60a4e48119a5b2c81d75c2b8d","2023","Kwartal","2","801","80101","075","0","15000.00","10972.04","10522.04"
"30","SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA","JB","368246055     ","10","02","01","1","0","Rb27s_0d810ac60a4e48119a5b2c81d75c2b8d","2023","Kwartal","2","801","80101","092","0","2000.00","944.35","944.35"
"31","SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA","JB","368246055     ","10","02","01","1","0","Rb27s_0d810ac60a4e48119a5b2c81d75c2b8d","2023","Kwartal","2","801","80101","097","0","600.00","334.41","334.41"
"32","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80101","069","0","200.00","27.00","27.00"
"33","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80101","075","0","75000.00","89464.00","74328.00"
"34","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80101","092","0","6000.00","3785.59","3785.59"
"35","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80101","097","0","1500.00","1147.95","1147.95"
"36","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80148","083","0","700000.00","401335.40","401335.40"
"37","SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE","JB","001070630     ","10","02","01","1","0","Rb27s_f214cb90c142479c9a353e9d575f9f16","2023","Kwartal","2","801","80148","097","0","7000.00","4845.00","4845.00"
